scenario,n_agents,trial,seed,success,time_raw,time_effective,cost_total,cost_per_agent,makespan,nodes,error_reason,img_path
纯小车 (1x1),6,14,59200,True,0.03097248077392578,0.03097248077392578,97,16.166666666666668,21,6,,
纯小车 (1x1),6,15,40527,True,0.016162633895874023,0.016162633895874023,88,14.666666666666666,23,2,,
纯小车 (1x1),6,16,67500,True,0.009260177612304688,0.009260177612304688,68,11.333333333333334,21,0,,
纯小车 (1x1),6,17,50036,True,0.015758037567138672,0.015758037567138672,68,11.333333333333334,24,3,,
纯小车 (1x1),6,18,60394,True,0.003935575485229492,0.003935575485229492,58,9.666666666666666,13,0,,
纯小车 (1x1),6,19,28125,True,0.025615215301513672,0.025615215301513672,95,15.833333333333334,26,4,,
纯小车 (1x1),6,20,39181,True,0.008783817291259766,0.008783817291259766,72,12.0,24,2,,
纯小车 (1x1),7,1,50092,True,0.03037571907043457,0.03037571907043457,106,15.142857142857142,28,6,,batch_performance_analysis\images\paths\纯小车_1x1_N7.png
纯小车 (1x1),7,2,69281,True,0.02007126808166504,0.02007126808166504,102,14.571428571428571,26,4,,
纯小车 (1x1),7,3,52559,True,0.02167034149169922,0.02167034149169922,135,19.285714285714285,28,3,,
纯小车 (1x1),7,4,26007,True,0.028297901153564453,0.028297901153564453,89,12.714285714285714,25,6,,
纯小车 (1x1),7,5,91087,True,0.032611846923828125,0.032611846923828125,122,17.428571428571427,28,6,,
纯小车 (1x1),7,6,90599,True,0.01614665985107422,0.01614665985107422,83,11.857142857142858,15,5,,
纯小车 (1x1),7,7,56424,True,0.04834151268005371,0.04834151268005371,132,18.857142857142858,31,11,,
纯小车 (1x1),7,8,52364,True,0.0387272834777832,0.0387272834777832,101,14.428571428571429,24,6,,
纯小车 (1x1),7,9,49682,True,0.010994195938110352,0.010994195938110352,107,15.285714285714286,26,0,,
纯小车 (1x1),7,10,98432,True,0.007787466049194336,0.007787466049194336,85,12.142857142857142,24,0,,
纯小车 (1x1),7,11,56105,True,0.01567697525024414,0.01567697525024414,109,15.571428571428571,25,2,,
纯小车 (1x1),7,12,38208,True,0.009885072708129883,0.009885072708129883,117,16.714285714285715,24,0,,
纯小车 (1x1),7,13,20314,True,0.010637283325195312,0.010637283325195312,89,12.714285714285714,20,2,,
纯小车 (1x1),7,14,57734,True,0.018628597259521484,0.018628597259521484,107,15.285714285714286,23,2,,
纯小车 (1x1),7,15,71734,True,0.016167402267456055,0.016167402267456055,80,11.428571428571429,18,3,,
纯小车 (1x1),7,16,37965,True,0.016422510147094727,0.016422510147094727,85,12.142857142857142,18,4,,
纯小车 (1x1),7,17,65692,True,0.03090977668762207,0.03090977668762207,125,17.857142857142858,33,4,,
纯小车 (1x1),7,18,23159,True,0.16615509986877441,0.16615509986877441,81,11.571428571428571,30,27,,
纯小车 (1x1),7,19,99459,True,0.015592098236083984,0.015592098236083984,83,11.857142857142858,17,6,,
纯小车 (1x1),7,20,97538,True,0.006150484085083008,0.006150484085083008,87,12.428571428571429,24,0,,
纯小车 (1x1),8,1,42489,True,0.30835413932800293,0.30835413932800293,136,17.0,26,57,,batch_performance_analysis\images\paths\纯小车_1x1_N8.png
纯小车 (1x1),8,2,41663,True,0.08794021606445312,0.08794021606445312,130,16.25,20,20,,
纯小车 (1x1),8,3,18284,True,0.03392386436462402,0.03392386436462402,109,13.625,27,6,,
纯小车 (1x1),8,4,3404,True,0.019974708557128906,0.019974708557128906,142,17.75,32,1,,
纯小车 (1x1),8,5,57660,True,0.03043079376220703,0.03043079376220703,123,15.375,31,4,,
纯小车 (1x1),8,6,24422,True,0.015828609466552734,0.015828609466552734,104,13.0,22,2,,
纯小车 (1x1),8,7,35819,True,0.007881641387939453,0.007881641387939453,108,13.5,26,0,,
纯小车 (1x1),8,8,19798,True,0.03320598602294922,0.03320598602294922,125,15.625,25,4,,
纯小车 (1x1),8,9,92138,True,0.008052587509155273,0.008052587509155273,91,11.375,22,0,,
纯小车 (1x1),8,10,8280,True,0.020282745361328125,0.020282745361328125,115,14.375,23,3,,
纯小车 (1x1),8,11,88519,True,0.027546167373657227,0.027546167373657227,125,15.625,26,4,,
纯小车 (1x1),8,12,27757,True,0.1261579990386963,0.1261579990386963,127,15.875,35,26,,
纯小车 (1x1),8,13,83459,True,0.01694011688232422,0.01694011688232422,125,15.625,24,2,,
纯小车 (1x1),8,14,68625,True,0.02958822250366211,0.02958822250366211,112,14.0,26,6,,
纯小车 (1x1),8,15,94229,True,0.02877664566040039,0.02877664566040039,81,10.125,16,7,,
纯小车 (1x1),8,16,88158,True,0.027237653732299805,0.027237653732299805,112,14.0,23,5,,
纯小车 (1x1),8,17,33492,True,0.011258602142333984,0.011258602142333984,78,9.75,16,2,,
纯小车 (1x1),8,18,12498,True,0.027253150939941406,0.027253150939941406,126,15.75,22,4,,
纯小车 (1x1),8,19,24796,True,0.06223893165588379,0.06223893165588379,105,13.125,22,19,,
纯小车 (1x1),8,20,4624,True,0.03882622718811035,0.03882622718811035,95,11.875,20,6,,
纯小车 (1x1),9,1,97931,True,0.06140732765197754,0.06140732765197754,142,15.777777777777779,29,9,,batch_performance_analysis\images\paths\纯小车_1x1_N9.png
纯小车 (1x1),9,2,62511,True,0.019313812255859375,0.019313812255859375,122,13.555555555555555,25,3,,
纯小车 (1x1),9,3,54941,True,0.12300252914428711,0.12300252914428711,141,15.666666666666666,27,17,,
纯小车 (1x1),9,4,37781,True,0.056011199951171875,0.056011199951171875,179,19.88888888888889,32,7,,
纯小车 (1x1),9,5,3528,True,0.04034018516540527,0.04034018516540527,134,14.88888888888889,26,9,,
纯小车 (1x1),9,6,1402,True,0.02116250991821289,0.02116250991821289,100,11.11111111111111,26,4,,
纯小车 (1x1),9,7,10287,True,0.0678107738494873,0.0678107738494873,136,15.11111111111111,27,9,,
纯小车 (1x1),9,8,95211,True,0.027333974838256836,0.027333974838256836,134,14.88888888888889,30,4,,
纯小车 (1x1),9,9,88259,True,0.10086417198181152,0.10086417198181152,130,14.444444444444445,26,22,,
纯小车 (1x1),9,10,54073,True,0.023706674575805664,0.023706674575805664,109,12.11111111111111,27,4,,
纯小车 (1x1),9,11,23287,True,0.019311904907226562,0.019311904907226562,77,8.555555555555555,15,6,,
纯小车 (1x1),9,12,87899,True,0.06282734870910645,0.06282734870910645,140,15.555555555555555,30,12,,
纯小车 (1x1),9,13,85521,True,0.05541539192199707,0.05541539192199707,102,11.333333333333334,18,2,,
纯小车 (1x1),9,14,50140,True,0.024861574172973633,0.024861574172973633,102,11.333333333333334,23,2,,
纯小车 (1x1),9,15,39412,True,0.3716273307800293,0.3716273307800293,105,11.666666666666666,23,70,,
纯小车 (1x1),9,16,26084,True,0.03834700584411621,0.03834700584411621,161,17.88888888888889,33,6,,
纯小车 (1x1),9,17,54730,True,0.012836694717407227,0.012836694717407227,135,15.0,22,0,,
纯小车 (1x1),9,18,73783,True,0.009934663772583008,0.009934663772583008,117,13.0,29,0,,
