scenario,n_agents,trial,seed,success,time_raw,cost_total,cost_per_agent,makespan,nodes,error_reason,img_path
纯小车 (1x1),9,3,65347,True,0.01150059700012207,71,7.888888888888889,18,2,,
纯小车 (1x1),9,4,11864,True,0.05655503273010254,105,11.666666666666666,20,12,,
纯小车 (1x1),9,5,2640,True,0.01657867431640625,132,14.666666666666666,27,0,,
纯小车 (1x1),9,6,20387,True,0.017346620559692383,134,14.88888888888889,24,2,,
纯小车 (1x1),9,7,48851,True,0.04405713081359863,138,15.333333333333334,23,6,,
纯小车 (1x1),9,8,24936,True,0.014763116836547852,93,10.333333333333334,18,1,,
纯小车 (1x1),9,9,65505,True,0.012023687362670898,69,7.666666666666667,22,0,,
纯小车 (1x1),9,10,48201,True,0.09361600875854492,131,14.555555555555555,23,12,,
纯小车 (1x1),9,11,99676,True,0.019501924514770508,106,11.777777777777779,18,6,,
纯小车 (1x1),9,12,76059,True,0.03877115249633789,132,14.666666666666666,25,6,,
纯小车 (1x1),9,13,68717,True,0.04344010353088379,147,16.333333333333332,27,4,,
纯小车 (1x1),9,14,89845,True,0.12404227256774902,128,14.222222222222221,19,21,,
纯小车 (1x1),9,15,26564,True,0.03309822082519531,123,13.666666666666666,26,3,,
纯小车 (1x1),9,16,47351,True,0.01920294761657715,128,14.222222222222221,21,2,,
纯小车 (1x1),9,17,65718,True,0.04813838005065918,136,15.11111111111111,23,6,,
纯小车 (1x1),9,18,36274,True,0.06625103950500488,117,13.0,22,12,,
纯小车 (1x1),9,19,41607,True,0.03937411308288574,152,16.88888888888889,29,4,,
纯小车 (1x1),9,20,62571,True,0.03487539291381836,123,13.666666666666666,22,3,,
纯小车 (1x1),10,1,64256,True,0.060297489166259766,104,10.4,19,8,,batch_analysis_v2_optimized\images\paths\纯小车_1x1_N10.png
纯小车 (1x1),10,2,80645,True,0.052752017974853516,140,14.0,26,6,,
纯小车 (1x1),10,3,79747,True,0.05067324638366699,146,14.6,29,5,,
纯小车 (1x1),10,4,47587,True,0.10574746131896973,118,11.8,30,24,,
