scenario,seed,total_agents,trial_id,success,time,makespan,cost,nodes,error,generated_count,image_path
纯小车 (1x1),44366,7,13,False,5.164547443389893,-1,-1,75,超时,7,
纯小车 (1x1),73782,7,14,True,0.0048525333404541016,15,69,0,,7,
纯小车 (1x1),97937,7,15,True,0.010507583618164062,22,88,0,,7,
纯小车 (1x1),40409,7,16,True,0.015889644622802734,22,89,4,,7,
纯小车 (1x1),56230,7,17,True,0.019939184188842773,19,92,4,,7,
纯小车 (1x1),31675,7,18,True,0.0282285213470459,21,120,4,,7,
纯小车 (1x1),72968,7,19,True,0.0532383918762207,26,113,11,,7,
纯小车 (1x1),47494,7,20,True,0.032076358795166016,33,92,4,,7,
纯小车 (1x1),25693,8,1,True,0.02916550636291504,25,97,8,,8,
纯小车 (1x1),37518,8,2,False,5.009475231170654,-1,-1,60,超时,8,
纯小车 (1x1),78778,8,3,True,0.0058746337890625,19,87,0,,8,
纯小车 (1x1),63031,8,4,False,0.012219667434692383,-1,-1,0,no_solution,8,
纯小车 (1x1),58413,8,5,True,0.05957937240600586,29,127,10,,8,
纯小车 (1x1),84545,8,6,True,0.014919042587280273,20,86,2,,8,
纯小车 (1x1),54833,8,7,True,0.027287721633911133,22,89,3,,8,
纯小车 (1x1),72396,8,8,True,0.014647722244262695,22,93,0,,8,
纯小车 (1x1),64182,8,9,True,0.090667724609375,23,108,5,,8,
纯小车 (1x1),28866,8,10,True,0.15150809288024902,28,135,34,,8,
纯小车 (1x1),50674,8,11,True,0.07718515396118164,26,128,11,,8,
纯小车 (1x1),82420,8,12,True,0.05664873123168945,24,96,15,,8,
纯小车 (1x1),27303,8,13,True,0.007430076599121094,18,96,0,,8,
纯小车 (1x1),92225,8,14,False,0.5423541069030762,-1,-1,78,no_solution,8,
纯小车 (1x1),43241,8,15,True,0.009142875671386719,18,96,0,,8,
纯小车 (1x1),81092,8,16,True,0.014393091201782227,21,126,2,,8,
纯小车 (1x1),16091,8,17,True,0.029500722885131836,24,121,9,,8,
纯小车 (1x1),7144,8,18,True,0.01491689682006836,21,105,2,,8,
纯小车 (1x1),13646,8,19,True,0.3151412010192871,29,111,20,,8,
纯小车 (1x1),60808,8,20,True,0.014868974685668945,23,95,2,,8,
纯小车 (1x1),5182,9,1,True,0.20137524604797363,29,165,28,,9,
纯小车 (1x1),91912,9,2,True,0.010528802871704102,33,119,0,,9,
纯小车 (1x1),94492,9,3,True,0.023316621780395508,25,130,1,,9,
纯小车 (1x1),88332,9,4,True,0.19884395599365234,32,150,35,,9,
纯小车 (1x1),4768,9,5,True,0.0891408920288086,30,120,17,,9,
纯小车 (1x1),72752,9,6,True,0.04486966133117676,26,123,10,,9,
纯小车 (1x1),14342,9,7,True,0.07041549682617188,28,147,7,,9,
纯小车 (1x1),40483,9,8,True,0.1735854148864746,29,148,21,,9,
纯小车 (1x1),73755,9,9,True,0.030248165130615234,34,160,1,,9,
纯小车 (1x1),87929,9,10,True,0.036830902099609375,24,108,8,,9,
纯小车 (1x1),69700,9,11,True,0.09280514717102051,25,119,14,,9,
纯小车 (1x1),22842,9,12,True,0.020708799362182617,21,110,2,,9,
纯小车 (1x1),91589,9,13,True,0.024259567260742188,23,144,2,,9,
纯小车 (1x1),83448,9,14,True,0.02733778953552246,21,116,6,,9,
纯小车 (1x1),22166,9,15,True,0.09969162940979004,29,167,11,,9,
纯小车 (1x1),20410,9,16,True,0.015715599060058594,23,123,2,,9,
纯小车 (1x1),86217,9,17,True,0.11265444755554199,22,127,33,,9,
纯小车 (1x1),69478,9,18,True,0.02812051773071289,22,106,5,,9,
纯小车 (1x1),93448,9,19,False,0.00972747802734375,-1,-1,0,no_solution,9,
纯小车 (1x1),44574,9,20,True,0.03543257713317871,25,103,9,,9,
纯小车 (1x1),7988,10,1,True,0.07207083702087402,22,162,8,,10,
纯小车 (1x1),48828,10,2,True,0.06384563446044922,25,140,13,,10,
纯小车 (1x1),23098,10,3,True,0.09441304206848145,28,170,10,,10,
纯小车 (1x1),15538,10,4,True,0.12850713729858398,19,109,21,,10,
纯小车 (1x1),5555,10,5,True,0.1303243637084961,23,150,25,,10,
纯小车 (1x1),2030,10,6,True,0.19042229652404785,28,108,30,,10,
纯小车 (1x1),85809,10,7,True,0.10915946960449219,26,143,5,,10,
纯小车 (1x1),99822,10,8,True,0.03283405303955078,26,128,4,,10,
纯小车 (1x1),14930,10,9,True,0.14165711402893066,32,172,12,,10,
纯小车 (1x1),16477,10,10,True,0.04388546943664551,26,148,5,,10,
纯小车 (1x1),3960,10,11,True,0.11872148513793945,29,116,11,,10,
纯小车 (1x1),33708,10,12,True,0.024917125701904297,28,129,4,,10,
纯小车 (1x1),78304,10,13,True,0.037518978118896484,28,147,9,,10,
纯小车 (1x1),90814,10,14,True,0.19988298416137695,23,161,28,,10,
纯小车 (1x1),48956,10,15,True,0.5362765789031982,30,159,69,,10,
纯小车 (1x1),84599,10,16,True,0.018298625946044922,26,136,3,,10,
纯小车 (1x1),45988,10,17,True,0.03428387641906738,25,163,6,,10,
纯小车 (1x1),6128,10,18,True,0.058466434478759766,31,142,9,,10,
纯小车 (1x1),34224,10,19,True,0.03153395652770996,23,148,4,,10,
